tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek
BEZPOŚREDNIO: Słoneczne mieszkanie w super miejscu,https://www.otodom.pl/pl/oferta/bezposrednio-sloneczne-mieszkanie-w-super-miejscu-ID4wckQ.html,"Łódź, Śródmieście",36.19,299900.0,8287.0,580.0,2.0,,wtórny
Przestronna kawalerka | Bałuty | ul. Zgierska 75/81 | bezpośrednio,https://www.olx.pl/d/oferta/przestronna-kawalerka-baluty-ul-zgierska-75-81-bezposrednio-CID3-ID14LcQp.html,"Łódź, Bałuty",30.0,255000.0,8500.0,,1.0,Blok,Wtórny
"Na sprzedaż, słoneczne 2 pokojowe mieszkanie.",https://www.otodom.pl/pl/oferta/na-sprzedaz-sloneczne-2-pokojowe-mieszkanie-ID4wt6v.html,"Łódź, Bałuty",41.22,314000.0,7618.0,510.0,2.0,,wtórny
ul. Traktorowa,https://www.otodom.pl/pl/oferta/ul-traktorowa-ID4wtiE.html,"Łódź, Polesie",61.5,676500.0,11000.0,850.0,3.0,,wtórny
Spod nieba na Łódź Kaliską w sekundę!,https://www.otodom.pl/pl/oferta/spod-nieba-na-lodz-kaliska-w-sekunde-ID4uVs3.html,"Łódź, Polesie",37.2,297000.0,7984.0,970.0,2.0,,wtórny
NOWOŚĆ! 2pok. | do wprowadzenia | balkon | DĄBROWA,https://www.otodom.pl/pl/oferta/nowosc-2pok-do-wprowadzenia-balkon-dabrowa-ID4whG8.html,"Łódź, Górna",40.03,340000.0,8494.0,,2.0,,wtórny
Piękne 3 pokojowe mieszkanie do wprowadzenia,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-mieszkanie-do-wprowadzenia-ID4wtjJ.html,"Łódź, Górna",52.0,449000.0,8635.0,604.01,3.0,,wtórny
Przytulne mieszkanie w budynku wielorodzinnym,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-w-budynku-wielorodzinnym-ID4tQkx.html,"Łódź, Górna",45.0,269000.0,5978.0,,2.0,,wtórny
Mieszkanie 2 pokoje Łódź Urzędnicza,https://www.olx.pl/d/oferta/mieszkanie-2-pokoje-lodz-urzednicza-CID3-ID14KPw6.html,"Łódź, Bałuty",37.4,296000.0,7914.44,,2.0,Blok,Wtórny
Urocze Dwa Pokoje Bez Barier !!!,https://www.otodom.pl/pl/oferta/urocze-dwa-pokoje-bez-barier-ID4wt8D.html,"Łódź, Polesie",38.23,365000.0,9547.0,750.0,2.0,,wtórny
Mieszkanie w prestiżowej lokalizacji Łodzi,https://www.otodom.pl/pl/oferta/mieszkanie-w-prestizowej-lokalizacji-lodzi-ID4wnob.html,"Łódź, Śródmieście",31.5,195000.0,6190.0,300.0,1.0,,wtórny
"ul. Łączna, do wprowadzenia, 2 pokoje, balkon, zielona okolica",https://www.olx.pl/d/oferta/ul-laczna-do-wprowadzenia-2-pokoje-balkon-zielona-okolica-CID3-ID14Yoy2.html,"Łódź, Górna",29.0,299970.0,10343.79,,2.0,Blok,Wtórny
Słoneczna kawalerka z dużą loggią na 8 piętrze,https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-z-duza-loggia-na-8-pietrze-ID4tjJm.html,"Łódź, Widzew",39.94,289000.0,7236.0,690.0,1.0,,wtórny
M4 Olechów- praktyczny rozkład na I piętrze,https://www.otodom.pl/pl/oferta/m4-olechow-praktyczny-rozklad-na-i-pietrze-ID4wsM3.html,"Łódź, Widzew",62.0,460000.0,7419.0,800.0,3.0,,wtórny
"Mieszkanie na sprzedaż, ul. Piękna 72 - 36,19 m2 , 4 piętro, Łódź",https://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-ul-piekna-72-36-19-m2-4-pietro-lodz-CID3-ID14Ylxo.html,"Łódź, Górna",36.19,245800.0,6791.93,,2.0,Blok,Wtórny
Gotowa do zamieszkani Kawalerka z antresolą! – 10 min od Piotrowskiej!,https://www.olx.pl/d/oferta/gotowa-do-zamieszkani-kawalerka-z-antresola-10-min-od-piotrowskiej-CID3-ID14D4O1.html,"Łódź, Śródmieście",16.0,175000.0,10937.5,,1.0,Kamienica,Wtórny
Tatrzańska – przytulne 2 pokoje na parterze !,https://www.otodom.pl/pl/oferta/tatrzanska-przytulne-2-pokoje-na-parterze-ID4wosQ.html,"Łódź, Górna",36.5,265000.0,7260.0,460.0,2.0,,wtórny
BEZPOŚREDNIO 2-pokojowe przytulne mieszkanie,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokojowe-przytulne-mieszkanie-ID4wm1C.html,"Łódź, Górna",31.99,255000.0,7971.0,420.84,2.0,,wtórny
"Centrum Łódź mieszkanie jednopokojowe z opcją dwóch pokoi 26,6m2",https://www.olx.pl/d/oferta/centrum-lodz-mieszkanie-jednopokojowe-z-opcja-dwoch-pokoi-26-6m2-CID3-ID14l8hG.html,"Łódź, Śródmieście",26.6,314000.0,11804.51,,1.0,Apartamentowiec,Pierwotny
"3-pokojowy apartament - Nowe Polesie, ul. Pienista",https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-nowe-polesie-ul-pienista-ID4wrnU.html,"Łódź, Polesie",61.19,645000.0,10541.0,1100.0,3.0,,wtórny
Mieszkanie na Bałutach - Bezpośrednio,https://www.otodom.pl/pl/oferta/mieszkanie-na-balutach-bezposrednio-ID4wtch.html,"Łódź, Bałuty",45.2,449000.0,9934.0,476.0,2.0,,wtórny
Inwestycyjny hit! 3 pokoje 46m² – duże możliwości,https://www.otodom.pl/pl/oferta/inwestycyjny-hit-3-pokoje-46m-duze-mozliwosci-ID4uFbb.html,"Łódź, Polesie",46.0,317000.0,6891.0,695.0,3.0,,wtórny
Kawalerka W Zielonej Części Bałut,https://www.otodom.pl/pl/oferta/kawalerka-w-zielonej-czesci-balut-ID4wkcA.html,"Łódź, Bałuty",32.51,266000.0,8182.0,540.0,1.0,,wtórny
3 Pokoje z ogródkiem i widokiem na las,https://www.otodom.pl/pl/oferta/3-pokoje-z-ogrodkiem-i-widokiem-na-las-ID4wpaA.html,"Łódź, Polesie",44.22,429999.0,9724.0,470.0,3.0,,pierwotny
"1 piętro, winda, 49,95 m2, ul. Tuwima, Nowe Centrum Łodzi",https://www.olx.pl/d/oferta/1-pietro-winda-49-95-m2-ul-tuwima-nowe-centrum-lodzi-CID3-ID14eMS3.html,"Łódź, Śródmieście",49.95,499000.0,9989.99,,2.0,Kamienica,Wtórny
Mieszkanie gotowe do wprowadzenia! M3! Okazja! Dąb,https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-wprowadzenia-m3-okazja-dab-ID4wrP6.html,Łódź,39.66,379000.0,9556.0,590.0,2.0,,wtórny
Ładne Mieszkanie 3 Pokojowe/Zarzew,https://www.otodom.pl/pl/oferta/ladne-mieszkanie-3-pokojowe-zarzew-ID4wrCi.html,"Łódź, Widzew",47.22,435000.0,9212.0,840.0,3.0,,wtórny
"Na sprzedaż, rozkładowe 3 pokojowe mieszkanie.",https://www.otodom.pl/pl/oferta/na-sprzedaz-rozkladowe-3-pokojowe-mieszkanie-ID4wjfs.html,"Łódź, Bałuty",57.0,419000.0,7351.0,663.0,3.0,,wtórny
"3 pokoje + oddz. kuchnia, ul. Chóralna, Łódź Górna",https://www.otodom.pl/pl/oferta/3-pokoje-oddz-kuchnia-ul-choralna-lodz-gorna-ID4woyF.html,"Łódź, Górna",62.0,515000.0,8306.0,700.0,3.0,,wtórny
3-pokojowe mieszkanie na Widzewie | 52 m² |,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-widzewie-52-m-ID4wnIp.html,"Łódź, Widzew",52.0,409000.0,7865.0,630.0,3.0,,wtórny
2 Pokoje 47.4 m2 - Do Remontu Centralne ogrzewanie,https://www.otodom.pl/pl/oferta/2-pokoje-47-4-m2-do-remontu-centralne-ogrzewanie-ID4wt5Z.html,"Łódź, Polesie",47.4,260000.0,5485.0,630.0,2.0,,wtórny
"Mieszkanie W Stanie Deweloperskim, Stacja Łódź",https://www.otodom.pl/pl/oferta/mieszkanie-w-stanie-deweloperskim-stacja-lodz-ID4wtAX.html,"Łódź, Górna",41.93,499360.0,11909.0,0.0,2.0,,pierwotny
"Atrakcyjne, trzypokojowe, z dobrym rozkładem",https://www.otodom.pl/pl/oferta/atrakcyjne-trzypokojowe-z-dobrym-rozkladem-ID4tSCo.html,"Łódź, Widzew",61.5,449000.0,7301.0,,3.0,,wtórny
4-pokoje z ogrodem w segmencie,https://www.otodom.pl/pl/oferta/4-pokoje-z-ogrodem-w-segmencie-ID4wpsa.html,"Łódź, Górna",81.0,882900.0,10900.0,690.0,4.0,,wtórny
"Blisko komunikacji, pełen rozkład, balkon",https://www.otodom.pl/pl/oferta/blisko-komunikacji-pelen-rozklad-balkon-ID4uwZz.html,"Łódź, Widzew",53.65,355000.0,6617.0,565.0,2.0,,wtórny
Sprzedam Ci Twoje wymarzone mieszkanie…,https://www.olx.pl/d/oferta/sprzedam-ci-twoje-wymarzone-mieszkanie-CID3-ID14BQrC.html,"Łódź, Widzew",23.1,230000.0,9956.71,,1.0,Kamienica,Wtórny
rezerwacja,https://www.otodom.pl/pl/oferta/rezerwacja-ID4wany.html,"Łódź, Górna",52.01,437000.0,8402.0,1000.0,3.0,,wtórny
Stylowe Mieszkanie w Sercu Łodzi – Kilińskiego 105,https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-w-sercu-lodzi-kilinskiego-105-ID4wnN0.html,"Łódź, Śródmieście",81.45,420000.0,5157.0,630.0,3.0,,wtórny
M3 Z Dużym Balkonem.,https://www.otodom.pl/pl/oferta/m3-z-duzym-balkonem-ID4w8vN.html,"Łódź, Polesie",36.91,339000.0,9185.0,400.0,2.0,,wtórny
Mieszkanie na Widzewie czeka na Ciebie!,https://www.otodom.pl/pl/oferta/mieszkanie-na-widzewie-czeka-na-ciebie-ID4whYh.html,"Łódź, Widzew",44.5,380000.0,8539.0,900.0,2.0,,wtórny
Przytulna I Widna Kawalerka,https://www.otodom.pl/pl/oferta/przytulna-i-widna-kawalerka-ID4t36F.html,Łódź,24.61,185000.0,7517.0,340.0,1.0,,wtórny
Atrakcyjne 2 pokoje na Karolewie - od zaraz,https://www.otodom.pl/pl/oferta/atrakcyjne-2-pokoje-na-karolewie-od-zaraz-ID4uPOi.html,"Łódź, Polesie",38.0,375000.0,9868.0,550.0,2.0,,wtórny
NOWOŚĆ! Mieszkanie z potencjałem! 38m2 | balkon,https://www.otodom.pl/pl/oferta/nowosc-mieszkanie-z-potencjalem-38m2-balkon-ID4wqz3.html,"Łódź, Górna",38.08,289000.0,7589.0,,1.0,,wtórny
"2 Pokoje w samym centrum Łodzi, pod klucz",https://www.otodom.pl/pl/oferta/2-pokoje-w-samym-centrum-lodzi-pod-klucz-ID4wdqi.html,"Łódź, Śródmieście",34.01,248000.0,7292.0,340.0,2.0,,wtórny
Nowoczesne 2 pokoje. Gotowe do wprowadzenia,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-gotowe-do-wprowadzenia-ID4wpn4.html,"Łódź, Górna",35.1,337000.0,9601.0,371.0,2.0,,wtórny
Przestronne M-3 Doły cegła!!,https://www.otodom.pl/pl/oferta/przestronne-m-3-doly-cegla-ID4uePn.html,"Łódź, Bałuty",60.0,420000.0,7000.0,860.0,2.0,,wtórny
"Na sprzedaż M4 – 3 pokoje, 54m², ul. Kosmonautów",https://www.otodom.pl/pl/oferta/na-sprzedaz-m4-3-pokoje-54m-ul-kosmonautow-ID4wtiV.html,"Łódź, Górna",54.2,420000.0,7749.0,,3.0,,wtórny
Klimatyczne Z Oknami Na 3 Strony Świata :),https://www.otodom.pl/pl/oferta/klimatyczne-z-oknami-na-3-strony-swiata-ID4wpZA.html,"Łódź, Bałuty",66.36,474360.0,7148.0,526.0,3.0,,wtórny
Widne * Dobra lokalizacja * Po remoncie,https://www.otodom.pl/pl/oferta/widne-dobra-lokalizacja-po-remoncie-ID4tTsL.html,"Łódź, Górna",32.37,269000.0,8310.0,500.0,2.0,,wtórny
Dwupoziomowe mieszkanie z ogródkiem i garażem,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-z-ogrodkiem-i-garazem-ID4tMLR.html,"Łódź, Widzew",50.0,348999.0,6980.0,,2.0,,wtórny
Mieszkanie kawalerka M2 z dużą antresolą w Łódź Śródmieście ul. Struga,https://www.olx.pl/d/oferta/mieszkanie-kawalerka-m2-z-duza-antresola-w-lodz-srodmiescie-ul-struga-CID3-ID14XJu8.html,"Łódź, Bałuty",33.1,280000.0,8459.21,,1.0,Kamienica,Wtórny
"4 pok. w segmencie z ogrodem 220 m2, taras i garaż",https://www.otodom.pl/pl/oferta/4-pok-w-segmencie-z-ogrodem-220-m2-taras-i-garaz-ID4toYi.html,"Łódź, Górna",81.0,882900.0,10900.0,690.0,4.0,,wtórny
2-pokojowe mieszkanie po generalnym remoncie do wprowadzenia!,https://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-po-generalnym-remoncie-do-wprowadzenia-CID3-ID14TYis.html,"Łódź, Polesie",34.0,327000.0,9617.65,,2.0,Blok,Wtórny
"Kawalerka przy Parku Podolskim, 29m2, 1 piętro",https://www.otodom.pl/pl/oferta/kawalerka-przy-parku-podolskim-29m2-1-pietro-ID4wu0m.html,"Łódź, Górna",29.0,213970.0,7378.0,300.0,1.0,,wtórny
"2 pok po remoncie umeblowane, IXp, balkon GÓRNA",https://www.otodom.pl/pl/oferta/2-pok-po-remoncie-umeblowane-ixp-balkon-gorna-ID4wt2w.html,"Łódź, Górna",36.0,358000.0,9944.0,485.0,2.0,,wtórny
"Okazja! Balkon, topowa lokalizacja",https://www.otodom.pl/pl/oferta/okazja-balkon-topowa-lokalizacja-ID4uJhm.html,"Łódź, Górna",37.64,250000.0,6642.0,430.0,2.0,,wtórny
"Gotowe do zamieszkania, 2 pokojowe, po remoncie!",https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-2-pokojowe-po-remoncie-ID4wcQM.html,"Łódź, Bałuty",33.5,321600.0,9600.0,299.0,2.0,,wtórny
PILNIE SPRZEDAM | Kawalerka | 27M2 | Dąbrowa,https://www.otodom.pl/pl/oferta/pilnie-sprzedam-kawalerka-27m2-dabrowa-ID4wq6v.html,"Łódź, Górna",27.18,263000.0,9676.0,314.0,1.0,,wtórny
Mieszkanie 3 pokojowe wyremontowane na Karolewie,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-wyremontowane-na-karolewie-ID4wbWN.html,"Łódź, Polesie",43.0,449000.0,10442.0,,3.0,,wtórny
"2 pokoje, blok. DO WPROWADZENIA! Park na Zdrowiu!",https://www.otodom.pl/pl/oferta/2-pokoje-blok-do-wprowadzenia-park-na-zdrowiu-ID4wtSp.html,"Łódź, Polesie",34.0,327000.0,9618.0,320.0,2.0,,wtórny
Kawalerka na sprzedaż!,https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-ID4wl4u.html,"Łódź, Górna",25.0,199000.0,7960.0,300.0,1.0,,wtórny
⭐️Mieszkanie 3-pok⭐62 m²⭐️Marysin⭐️Rozkład⭐️Park⭐️,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok62-mmarysinrozkladpark-ID4wk5t.html,"Łódź, Bałuty",62.38,410000.0,6573.0,630.0,3.0,,wtórny
"29,35 m2 + balkon. Bez prowizji!",https://www.otodom.pl/pl/oferta/29-35-m2-balkon-bez-prowizji-ID4qO4f.html,"Łódź, Polesie",29.35,290466.0,9897.0,330.0,1.0,,pierwotny
Mieszkanie na Retkini z możliwością 4 pokoi!,https://www.otodom.pl/pl/oferta/mieszkanie-na-retkini-z-mozliwoscia-4-pokoi-ID4wqZI.html,"Łódź, Polesie",63.58,499000.0,7848.0,550.0,4.0,,wtórny
***Mieszkanie Na Teofilowie***,https://www.otodom.pl/pl/oferta/mieszkanie-na-teofilowie-ID4uGgN.html,"Łódź, Bałuty",36.64,260360.0,7106.0,389.0,2.0,,wtórny
M3/Dąbrowskiego/Od zaraz/Wymieniona elektryka,https://www.otodom.pl/pl/oferta/m3-dabrowskiego-od-zaraz-wymieniona-elektryka-ID4wkOt.html,"Łódź, Górna",36.24,299000.0,8251.0,420.0,2.0,,wtórny
Rezerwacja oferty  !!!,https://www.olx.pl/d/oferta/rezerwacja-oferty-CID3-ID14NtbO.html,"Łódź, Widzew",27.18,230000.0,8462.1,,1.0,Blok,Wtórny
"Do wprowadzenia, Bałuty, Franciszkańska, 47m2, 2p",https://www.otodom.pl/pl/oferta/do-wprowadzenia-baluty-franciszkanska-47m2-2p-ID4wpSN.html,"Łódź, Bałuty",47.13,395000.0,8381.0,800.0,2.0,,wtórny
Super cena-2 pokoje Łódź Górna,https://www.otodom.pl/pl/oferta/super-cena-2-pokoje-lodz-gorna-ID4w2I7.html,"Łódź, Górna",35.76,245000.0,6851.0,600.0,2.0,,wtórny
"2 pokoje, ul. Turoszowska, 36,45 m2",https://www.otodom.pl/pl/oferta/2-pokoje-ul-turoszowska-36-45-m2-ID4uoB1.html,"Łódź, Bałuty",37.06,280000.0,7555.0,550.0,2.0,,wtórny
Mieszkanie 3 pokojowe,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-ID4w5TY.html,"Łódź, Bałuty",44.41,449000.0,10110.0,340.0,3.0,,wtórny
M3 Łódź Żabieniec 37m2,https://www.olx.pl/d/oferta/m3-lodz-zabieniec-37m2-CID3-ID14POKS.html,"Łódź, Bałuty",36.57,310000.0,8476.89,,2.0,Blok,Wtórny
"Mieszkanie, Łódź",https://www.otodom.pl/pl/oferta/-ID4tn2F.html,"Łódź, Polesie",61.36,430000.0,7008.0,600.0,2.0,,wtórny
Umeblowane mieszkanie dostępne od zaraz,https://www.otodom.pl/pl/oferta/umeblowane-mieszkanie-dostepne-od-zaraz-ID4wk79.html,"Łódź, Górna",47.0,315000.0,6702.0,850.0,2.0,,wtórny
Mieszkanie 2-pokojowe M3 Karolew,https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-m3-karolew-CID3-ID14QW0T.html,"Łódź, Polesie",44.0,380000.0,8636.36,,2.0,Blok,Wtórny
Luksusowe 4-pokojowe mieszkanie w centrum Łodzi,https://www.otodom.pl/pl/oferta/luksusowe-4-pokojowe-mieszkanie-w-centrum-lodzi-ID4woIj.html,"Łódź, Śródmieście",86.2,895000.0,10383.0,1375.0,4.0,,wtórny
"Słoneczne, 2 pokojowe mieszkanie na Retkini",https://www.otodom.pl/pl/oferta/sloneczne-2-pokojowe-mieszkanie-na-retkini-ID4wnYV.html,"Łódź, Polesie",42.23,358000.0,8477.0,410.0,2.0,,wtórny
Kawalerka Piotrkowska 277 21 m2,https://www.otodom.pl/pl/oferta/kawalerka-piotrkowska-277-21-m2-ID4wgXW.html,"Łódź, Śródmieście",21.0,159000.0,7571.0,150.0,1.0,,wtórny
Mieszkanie TBS 46m Janów,https://www.otodom.pl/pl/oferta/mieszkanie-tbs-46m-janow-ID4wrt3.html,"Łódź, Widzew",46.0,260000.0,5652.0,1264.0,3.0,,wtórny
REZERWACJA Trzypokojowe mieszkanie Łódź Chojny,https://www.otodom.pl/pl/oferta/rezerwacja-trzypokojowe-mieszkanie-lodz-chojny-ID4wnL1.html,"Łódź, Górna",55.36,450000.0,8129.0,700.0,3.0,,wtórny
"124 m2 ul Bema - apartament marzeń , balkon zbędny",https://www.otodom.pl/pl/oferta/124-m2-ul-bema-apartament-marzen-balkon-zbedny-ID4quSt.html,"Łódź, Bałuty",124.0,1100000.0,8871.0,1400.0,2.0,,wtórny
Kawalerka inwestycyjna do remontu | CO miejskie,https://www.otodom.pl/pl/oferta/kawalerka-inwestycyjna-do-remontu-co-miejskie-ID4wnNr.html,"Łódź, Bałuty",17.7,119000.0,6723.0,285.0,1.0,,wtórny
M3 Z Balkonem Na Bałutach,https://www.otodom.pl/pl/oferta/m3-z-balkonem-na-balutach-ID4w8yR.html,"Łódź, Bałuty",37.5,299000.0,7973.0,560.0,2.0,,wtórny
M4 Łódź Górna Rondo Lotników Lwowskich,https://www.otodom.pl/pl/oferta/m4-lodz-gorna-rondo-lotnikow-lwowskich-ID4td7k.html,"Łódź, Górna",60.0,400000.0,6667.0,850.0,3.0,,wtórny
M-4 Dąbrowa Ul. Dąbrowskiego,https://www.otodom.pl/pl/oferta/m-4-dabrowa-ul-dabrowskiego-ID4wqn4.html,"Łódź, Górna",48.24,455000.0,9432.0,500.0,3.0,,wtórny
Na sprzedaż Inwestycyjne mieszkanie Wschodnia 68,https://www.otodom.pl/pl/oferta/na-sprzedaz-inwestycyjne-mieszkanie-wschodnia-68-ID4wuyV.html,"Łódź, Śródmieście",36.33,280000.0,7707.0,,2.0,,wtórny
1-pokojowe mieszkanie 32m2 + balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-ID4wsTL.html,"Łódź, Polesie",32.9,343805.0,10450.0,,1.0,,pierwotny
M5 w pobliżu ronda Sybiraków,https://www.otodom.pl/pl/oferta/m5-w-poblizu-ronda-sybirakow-ID4wnDs.html,"Łódź, Widzew",84.1,798950.0,9500.0,1000.0,4.0,,wtórny
Rezerwacja 2 Pokoje Z Balkonem | Piękny Widok Nocą,https://www.otodom.pl/pl/oferta/rezerwacja-2-pokoje-z-balkonem-piekny-widok-noca-ID4w6s3.html,"Łódź, Górna",36.43,319000.0,8757.0,523.0,2.0,,wtórny
Rozkładowe M3 Blisko Parku Staromiejskiego,https://www.otodom.pl/pl/oferta/rozkladowe-m3-blisko-parku-staromiejskiego-ID4wogq.html,"Łódź, Bałuty",42.25,318000.0,7527.0,530.0,2.0,,wtórny
Retkinia 2 pokojowe 46 m2 z balkonem-Bezpośrednio,https://www.otodom.pl/pl/oferta/retkinia-2-pokojowe-46-m2-z-balkonem-bezposrednio-ID4wr6R.html,"Łódź, Polesie",46.0,399000.0,8674.0,700.0,2.0,,wtórny
"2 pokoje koło Manufaktury, niski koszt utrzymania",https://www.otodom.pl/pl/oferta/2-pokoje-kolo-manufaktury-niski-koszt-utrzymania-ID4wmKE.html,"Łódź, Polesie",31.5,285000.0,9048.0,199.0,2.0,,wtórny
"2 pokoje, taras, miejsce parkingowe",https://www.otodom.pl/pl/oferta/2-pokoje-taras-miejsce-parkingowe-ID4wfVW.html,"Łódź, Widzew",40.0,330000.0,8250.0,,2.0,,wtórny
Fantastyczne Mieszkanie W Odnowionej Kamienicy!,https://www.otodom.pl/pl/oferta/fantastyczne-mieszkanie-w-odnowionej-kamienicy-ID4wdtC.html,"Łódź, Polesie",63.0,375000.0,5952.0,800.0,2.0,,wtórny
Parter wśród zieleni!,https://www.otodom.pl/pl/oferta/parter-wsrod-zieleni-ID4wlJN.html,"Łódź, Bałuty",40.0,289000.0,7225.0,,2.0,,wtórny
"2 rozkładowe pokoje do remontu, obok Manufaktury",https://www.otodom.pl/pl/oferta/2-rozkladowe-pokoje-do-remontu-obok-manufaktury-ID4wrCS.html,"Łódź, Polesie",38.55,264977.0,6874.0,,2.0,,wtórny
M3 Z Balkonem Blisko Parku Podolskiego,https://www.otodom.pl/pl/oferta/m3-z-balkonem-blisko-parku-podolskiego-ID4woRX.html,"Łódź, Widzew",37.64,330000.0,8767.0,680.0,2.0,,wtórny
Kawalerka z potencjałem w doskonałej lokalizacji.,https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-w-doskonalej-lokalizacji-ID4urKK.html,"Łódź, Górna",27.18,212000.0,7800.0,,1.0,,wtórny
"Mieszkanie w centrum, SUPER CENA!! odnowiony blok!",https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-super-cena-odnowiony-blok-ID4w8p0.html,"Łódź, Bałuty",42.0,245000.0,5833.0,550.0,1.0,,wtórny
M-4 Łódź centrum klimatyczna kamienica,https://www.otodom.pl/pl/oferta/m-4-lodz-centrum-klimatyczna-kamienica-ID4ufEM.html,Łódź,60.0,399000.0,6650.0,,3.0,,wtórny
"42 mkw gotowe do wprowadzenia, Pienista, Lublinek",https://www.otodom.pl/pl/oferta/42-mkw-gotowe-do-wprowadzenia-pienista-lublinek-ID4w2rF.html,"Łódź, Polesie",42.0,345000.0,8214.0,400.0,2.0,,wtórny
⭐Mieszkanie 3-pok.⭐ 53 m²⭐️Widzew⭐️Duże szafy⭐️,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-53-mwidzewduze-szafy-ID4wjcg.html,"Łódź, Widzew",52.89,399999.0,7563.0,690.0,3.0,,wtórny
Kawalerka 31m2 na Retkinii - 1sze piętro l Balkon francuski,https://www.olx.pl/d/oferta/kawalerka-31m2-na-retkinii-1sze-pietro-l-balkon-francuski-CID3-ID14yOKv.html,"Łódź, Polesie",31.0,277900.0,8964.52,,1.0,Blok,Wtórny
Kawalerka z ogrzewaniem miejskim obok Manufaktury,https://www.otodom.pl/pl/oferta/kawalerka-z-ogrzewaniem-miejskim-obok-manufaktury-ID4wp6F.html,"Łódź, Polesie",15.29,199000.0,13015.0,127.0,1.0,,wtórny
"3 pokoje, 1 PIĘTRO z balkonem, wysoki standard",https://www.otodom.pl/pl/oferta/3-pokoje-1-pietro-z-balkonem-wysoki-standard-ID4wjLN.html,"Łódź, Górna",46.0,475000.0,10326.0,,3.0,,wtórny
Przestronne mieszkanie w super lokalizacji Jaracza,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-super-lokalizacji-jaracza-ID4wqcS.html,"Łódź, Śródmieście",131.5,419000.0,3186.0,970.0,5.0,,wtórny
Dwupokojowe mieszkanie blisko Manufaktury,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-blisko-manufaktury-ID4uL6q.html,"Łódź, Polesie",50.0,39000.0,780.0,,2.0,,wtórny
Przestronne M4 na Retkini – idealne dla rodziny!,https://www.otodom.pl/pl/oferta/przestronne-m4-na-retkini-idealne-dla-rodziny-ID4wqZK.html,"Łódź, Polesie",63.58,499000.0,7848.0,550.0,3.0,,wtórny
3 rozkładowe pokoje w zielonej części Retkini,https://www.otodom.pl/pl/oferta/3-rozkladowe-pokoje-w-zielonej-czesci-retkini-ID4wl0L.html,"Łódź, Polesie",52.97,450000.0,8495.0,700.0,3.0,,wtórny
Mieszkanie TBS w centrum Łodzi,https://www.otodom.pl/pl/oferta/mieszkanie-tbs-w-centrum-lodzi-ID4wrKD.html,"Łódź, Śródmieście",50.55,225000.0,4451.0,822.0,2.0,,wtórny
Pilna sprzedaż! Gotowiec inwestycyjny! 15% ROI!,https://www.otodom.pl/pl/oferta/pilna-sprzedaz-gotowiec-inwestycyjny-15-roi-ID4wgvV.html,"Łódź, Śródmieście",58.13,299999.0,5161.0,300.0,3.0,,wtórny
Polesie/Bałuty⭐2 pok⭐lipiec 25⭐taras⭐garaż⭐komórka,https://www.otodom.pl/pl/oferta/polesie-baluty2-poklipiec-25tarasgarazkomorka-ID4wjZJ.html,"Łódź, Bałuty",37.0,344173.0,9302.0,440.0,2.0,,pierwotny
Mieszkanie ul. Bazarowa z CO miejskim Bałuty,https://www.otodom.pl/pl/oferta/mieszkanie-ul-bazarowa-z-co-miejskim-baluty-ID4pA9s.html,"Łódź, Bałuty",58.0,360000.0,6207.0,980.0,2.0,,wtórny
"Mieszkanie W Centrum Miasta, Śródmieście",https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-miasta-srodmiescie-ID4sVMi.html,"Łódź, Śródmieście",44.93,295000.0,6566.0,0.0,2.0,,wtórny
"Najtańsze Mieszkanie Na Bałutach, Blisko Wam",https://www.otodom.pl/pl/oferta/najtansze-mieszkanie-na-balutach-blisko-wam-ID4wj4K.html,"Łódź, Bałuty",37.48,239000.0,6377.0,410.0,2.0,,wtórny
