tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/perelka-na-zlotnie-ID4tsGn,,32.24,329000.0,10205.0,290.0,1.0,apartamentowiec,wtórny,gazowe,2/2,do wykończenia,pełna własność,2024-11-14,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2024,nie,,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-w-centrum-lodzi-ID4tmqw,,40.17,315000.0,7842.0,150.0,2.0,kamienica,wtórny,elektryczne,parter/3,do zamieszkania,pełna własność,2024-11-06,biuro nieruchomości,,,nie,cegła,plastikowe,,"meble, lodówka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",,otodom
,https://www.otodom.pl/pl/oferta/dwupak-kawalerek-dochod-z-najmu-3000-zl-m-c-ID4req4,,38.3,325000.0,8486.0,500.0,2.0,kamienica,wtórny,inne,2/3,do zamieszkania,pełna własność,2024-06-24,biuro nieruchomości,,,nie,cegła,plastikowe,,"meble, lodówka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-gotowe-ID4wISQ,,39.05,389114.0,9965.0,10.0,2.0,apartamentowiec,pierwotny,miejskie,4/10,do wykończenia,brak informacji,2024-11-28,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2024,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/perelka-inwestycje-z-happy-home-ID4tcK2,,19.0,239000.0,12579.0,320.0,1.0,kamienica,wtórny,miejskie,2/3,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,,,nie,cegła,plastikowe,,"lodówka, meble, telewizor, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet",otodom
,https://www.otodom.pl/pl/oferta/super-inwestycja-w-samym-centrum-ul-jaracza-15-ID4wzBi,,65.23,422000.0,6469.0,650.0,4.0,kamienica,wtórny,gazowe,parter/3,do zamieszkania,pełna własność,brak informacji,prywatny,,1910,nie,cegła,plastikowe,W trakcie realizacji / Zwolnione,"lodówka, meble, piekarnik, kuchenka, pralka",,,otodom
,https://www.otodom.pl/pl/oferta/mieszkanie-50-metrow-lodz-gorna-ID4ueNz,,50.0,690000.0,13800.0,500.0,2.0,blok,wtórny,miejskie,2/5,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, taras, oddzielna kuchnia, pom. użytkowe",2012,tak,,plastikowe,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,"telewizja kablowa, internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-gotowe-ID4wISP,,37.86,374303.0,9887.0,10.0,2.0,apartamentowiec,pierwotny,miejskie,parter/10,do wykończenia,brak informacji,2024-11-28,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2024,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-ID4wISN,,33.1,318206.0,9613.0,10.0,1.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2025-02-28,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-centrum-ID4wISJ,,56.21,518452.0,9223.0,10.0,3.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2025-06-16,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-ID4wISM,,46.85,452219.0,9652.0,10.0,3.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2025-02-28,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-centrum-ID4wISO,,28.69,298189.0,10393.0,10.0,1.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2025-06-16,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/hpr/pl/oferta/dwulokalowy-bezczynszowy-apartament-z-ogrodem-ID4wJ2h,,135.0,1280000.0,9481.0,0.0,,,wtórny,gazowe,1/2,do zamieszkania,pełna własność,2025-04-07,biuro nieruchomości,"balkon, ogródek, taras, garaż/miejsce parkingowe, piwnica, oddzielna kuchnia, pom. użytkowe",2005,nie,cegła,,,"meble, piekarnik, lodówka, pralka, telewizor, zmywarka, klimatyzacja","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe","telefon, internet, telewizja kablowa",otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-centrum-ID4wISK,,45.48,430127.0,9457.0,10.0,2.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2025-06-16,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-fabryczny-ID4wISF,,55.04,581717.0,10569.0,10.0,3.0,apartamentowiec,pierwotny,miejskie,1/10,do wykończenia,brak informacji,2026-06-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-fabryczny-ID4wISG,,25.41,320089.0,12597.0,10.0,1.0,apartamentowiec,pierwotny,miejskie,1/10,do wykończenia,brak informacji,2026-06-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-sukcesja-ID4wISH,,35.25,368433.0,10452.0,10.0,2.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2026-10-05,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-sukcesja-ID4wISL,,51.53,478301.0,9282.0,10.0,3.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2026-10-05,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/3-pokoje-przy-placu-wolnosci-rabat-bezposrednio-ID4wISC,,53.03,490156.0,9243.0,10.0,3.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2026-11-24,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2026,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-sukcesja-ID4wISI,,39.49,422760.0,10705.0,10.0,2.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2025-07-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/dzien-otwarty-mega-rabat-bezposrednio-fabryczny-ID4wISE,,36.19,413543.0,11427.0,10.0,2.0,apartamentowiec,pierwotny,miejskie,1/10,do wykończenia,brak informacji,2026-06-30,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/2-pokoje-przy-placu-wolnosci-rabat-bezposrednio-ID4wISD,,34.92,348641.0,9984.0,10.0,2.0,apartamentowiec,pierwotny,miejskie,brak informacji,do wykończenia,brak informacji,2026-11-24,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2026,tak,inny,plastikowe,,,"system alarmowy, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/kawalerka-dla-inwestora-obok-umedu-zobacz-ID4wIRY,,26.0,261000.0,10038.0,,1.0,blok,pierwotny,miejskie,brak informacji,do wykończenia,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, pom. użytkowe",,tak,cegła,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/studio-kawalerka-2-km-od-manufaktury-do-wykonczeni-ID4wIRI,,11.71,125297.0,10700.0,120.0,1.0,kamienica,wtórny,gazowe,parter/2,do wykończenia,pełna własność,brak informacji,prywatny,,,nie,cegła,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,otodom
