tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/2-pokoje-balkon-viiip-mieszkanie-z-potencjalem-ID4wg6l.html,,42.98,305000.0,7096.0,600.0,2.0,blok,wtórny,miejskie,8/10,do remontu,pełna własność,brak informacji,prywatny,"balkon, ogródek, piwnica, oddzielna kuchnia",,tak,wielka płyta,plastikowe,,"lodówka, meble, piekarnik, kuchenka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",olx
,https://www.otodom.pl/pl/oferta/wielki-dodatkowy-rabat-scisle-centrum-ID4woM6.html,,41.0,371300.0,9056.0,,2.0,apartamentowiec,pierwotny,miejskie,1/6,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, taras, garaż/miejsce parkingowe",2025,tak,cegła,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,olx
,https://www.otodom.pl/pl/oferta/centrum-miasta2-pokojedo-wprowadzeniainwestycja-ID4wEbi.html,,40.15,265000.0,6600.0,260.0,2.0,kamienica,wtórny,miejskie,parter/3,do zamieszkania,pełna własność,2025-03-01,biuro nieruchomości,,1912,nie,cegła,plastikowe,,,,,olx
,https://www.otodom.pl/pl/oferta/cud-miod-loft-ul-tymienieckiego-25d-ID4wKci.html,,59.38,585000.0,9852.0,690.0,2.0,apartamentowiec,wtórny,miejskie,3/5,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,,,tak,cegła,plastikowe,W trakcie realizacji / Zwolnione,,,,olx
,https://www.otodom.pl/pl/oferta/parter-z-balkonem-wsrod-zieleni-ID4wI6y.html,,64.0,439000.0,6859.0,,3.0,blok,wtórny,miejskie,parter/11,do zamieszkania,brak informacji,brak informacji,biuro nieruchomości,"balkon, piwnica, oddzielna kuchnia",,tak,,,,"lodówka, meble, pralka",,,olx
,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-na-teofilowie-bez-prowizji-ID4wpqO.html,,45.1,414000.0,9180.0,450.0,2.0,blok,wtórny,miejskie,3/4,do zamieszkania,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia, pom. użytkowe",1970,nie,wielka płyta,plastikowe,,"meble, kuchenka",,"telewizja kablowa, internet, telefon",olx
,https://www.otodom.pl/pl/oferta/kawalerka-9p-wiezowiec-widzew-wschod-ID4wLG2.html,,31.0,239000.0,7710.0,,1.0,blok,wtórny,miejskie,9/11,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"piwnica, oddzielna kuchnia",,tak,wielka płyta,plastikowe,,,,"telewizja kablowa, internet",olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/rozkladowe-m3-z-pieknym-widokiem-w-scislym-centrum-ID4wKmu.html,,40.0,295000.0,7375.0,340.0,2.0,blok,wtórny,miejskie,> 10/11,do remontu,pełna własność,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia",,tak,wielka płyta,plastikowe,,,,,olx
